afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60002813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,aus
60002821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,1,chn
60002833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,chn
60002836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,chn
60002877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,kor
60002948,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,5,0,0,jpn
60003013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,6,0,0,chn
60003028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60003076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twn
60003087,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,2,7,0,0,0,15,kor
60003105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,twn
60003144,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,chn
60003146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,chn
60003181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,jpn
60003303,0,0,0,0,0,0,0,0,3,1,0,11,0,6,5,11,2,15,5,7,7,12,jpn
60003381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60003394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twn
60003480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aus
60003497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60003498,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60003524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,10,13,aus
60003525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,twn
60003533,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,5,5,0,8,kor
60003608,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,jpn
60003640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,2,1,chn
60003641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,chn
60003658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twn
60003677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60003928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60003970,0,0,0,0,0,1,0,0,0,0,2,5,1,7,7,15,15,14,19,38,43,42,chn
60003977,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,2,0,0,0,2,chn
60004049,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,jpn
60004091,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,jpn
60004148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,chn
60004225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,jpn
60004283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,jpn
60004321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,1,0,jpn
60004395,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,jpn
60004396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60004538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,4,chn
60004573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4,0,2,0,chn
60004580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kor
60004630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,chn
60004667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,chn
60004679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,jpn
60004691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,chn
60004739,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,1,4,0,2,kor
60004752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,chn
60004828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60004853,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,6,0,0,0,jpn
60004879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,twn
60004948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,0,0,jpn
60004965,0,0,0,0,3,1,4,2,3,0,5,4,5,3,0,9,3,4,4,8,3,11,twn
60005027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60005038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60005050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,jpn
60005083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,kor
60005101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,12,0,3,5,8,twn
60005111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60005189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,5,chn
60005202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,aus
60005206,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,3,0,4,0,chn
60005218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60005229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,chn
60005244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,8,11,chn
60005245,0,0,7,0,0,5,2,7,4,2,5,1,4,7,1,3,2,1,4,0,0,7,aus
60005273,0,0,0,0,0,0,0,0,2,2,3,4,7,4,5,7,9,15,15,9,20,20,kor
60005275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,jpn
60005389,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,2,2,2,0,kor
60005429,0,0,0,0,2,2,3,8,4,6,15,9,13,13,7,26,22,25,25,25,22,20,twn
60005451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60005465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,chn
60005500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,6,4,11,5,chn
60005516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,kor
60005531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twn
60005555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60005581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,kor
60005600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,twn
60005684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,8,0,jpn
60005732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kor
60005815,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,3,1,2,twn
60005816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,chn
60005865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60005884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,aus
60005935,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,3,6,0,0,0,0,0,jpn
60005960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60006019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,chn
60006082,0,0,0,0,0,2,1,1,0,3,0,1,3,0,4,6,0,3,2,4,0,0,twn
60006106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,chn
60006108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60006154,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60006170,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,2,0,10,jpn
60006234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aus
60006240,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,6,2,2,8,kor
60006321,1,0,0,0,0,0,0,0,3,1,2,7,1,4,0,5,0,7,3,1,6,0,jpn
60006354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,chn
60006422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60006582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60006588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,4,5,chn
60006742,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,jpn
60006834,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,9,0,0,twn
60006899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,aus
60006925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,aus
60006927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60006935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,chn
60006988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,8,6,2,9,16,twn
60007029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,5,chn
60007155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,chn
60007215,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,4,4,4,5,9,12,kor
60007269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,chn
60007324,0,0,0,0,0,0,0,0,0,0,0,2,2,7,1,6,15,4,14,15,22,22,chn
60007381,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,7,1,chn
60007511,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,2,0,2,5,18,16,kor
60007522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kor
60007524,0,0,0,0,5,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,jpn
60007661,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,0,0,0,0,twn
60007711,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,1,0,0,12,chn
60007807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,chn
60007819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60007841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60007862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60007912,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,jpn
60007954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0,0,twn
60007963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aus
60007976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,jpn
60008014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,4,aus
60008073,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,11,8,8,5,18,5,chn
60008107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,jpn
60008202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60008203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60008332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,10,7,chn
60008435,0,0,0,0,5,0,0,3,5,3,5,11,1,0,8,8,5,17,23,5,6,3,jpn
60008461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60008495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twn
60008510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60008576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60008646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,5,2,9,kor
60008691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,chn
60008706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,3,4,5,22,chn
60008707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,chn
60008762,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,jpn
60008783,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,4,1,2,14,4,10,kor
60008872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,chn
60008923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aus
60008950,0,0,0,0,7,0,0,3,3,1,2,0,0,1,1,9,4,2,6,0,4,0,aus
60008959,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,jpn
60009011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,jpn
60009013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60009064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,5,jpn
