afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60003230,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,grc
60003237,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,1,14,4,0,3,fin
60003247,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt
60003349,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60003354,NA,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,hun
60003367,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,cze
60003408,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt
60003417,NA,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,1,0,1,0,1,3,aut
60003487,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,esp
60003662,NA,1,0,0,0,0,0,2,4,3,0,0,4,0,0,4,0,0,1,1,4,2,esp
60003665,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isr
60003668,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,ita
60003684,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grc
60003686,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60003687,NA,0,0,0,0,0,2,0,2,0,0,2,1,5,0,0,0,5,0,1,2,0,dnk
60003703,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,isr
60003767,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che
60003858,NA,0,2,1,3,3,3,3,3,5,3,7,1,2,2,6,4,8,10,11,33,29,swe
60003938,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor
60004047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hrv
60004060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,svn
60004235,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,prt
60004300,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,ita
60004346,NA,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,3,10,1,2,3,prt
60004362,NA,0,0,0,0,0,0,1,0,0,0,0,5,2,0,1,0,7,6,2,5,0,swe
60004443,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,esp
60004498,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk
60004502,NA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,tur
60004591,NA,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,3,2,1,5,6,4,ita
60004638,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,ita
60004688,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60004716,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,grc
60004718,NA,0,0,1,0,0,0,0,0,3,3,1,0,0,3,9,5,5,17,37,7,15,che
60004737,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,2,hun
60004761,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che
60004783,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk
60004829,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,dnk
60004907,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60004956,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,prt
60004962,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,che
60004969,NA,0,0,0,0,0,0,1,0,0,0,2,0,0,2,7,2,4,0,5,0,2,ita
60005037,NA,0,0,0,0,0,0,0,0,5,0,0,0,6,4,0,4,24,9,10,7,5,isr
60005102,NA,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,2,2,4,4,5,nor
60005141,NA,0,0,0,0,1,0,1,0,3,11,2,5,2,5,8,10,5,1,2,0,8,irl
60005299,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,svk
60005308,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60005400,NA,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,2,5,0,3,0,ita
60005479,NA,0,0,0,0,0,0,0,0,1,3,2,3,10,4,1,6,1,4,5,7,6,esp
60005563,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60005593,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tur
60005625,NA,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60005666,NA,0,0,0,0,1,1,0,2,2,8,7,2,2,0,0,0,0,1,0,2,0,che
60005681,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,5,2,7,2,12,isr
60005779,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,aut
60005803,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,tur
60005809,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cze
60005828,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bgr
60005871,NA,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,esp
60005912,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,esp
60006179,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk
60006224,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,aut
60006225,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pol
60006264,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60006369,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,tur
60006425,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin
60006460,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,dnk
60006461,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,hrv
60006564,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,14,0,1,7,dnk
60006583,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,ita
60006627,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60006635,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,bel
60006646,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,9,ita
60006655,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che
60006681,NA,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,3,0,0,5,0,3,swe
60006723,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,isr
60006754,NA,0,0,0,0,0,0,0,3,0,2,0,1,2,0,8,2,0,1,1,0,11,esp
60006793,NA,0,0,0,0,0,0,0,0,2,0,2,3,2,2,12,3,3,3,5,3,4,esp
60006795,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe
60006811,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,che
60006843,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60006861,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,1,0,7,0,2,9,svk
60006876,NA,0,0,0,0,1,0,0,2,4,4,0,0,1,0,1,3,2,5,2,13,5,fin
60006920,NA,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,0,1,2,5,3,13,esp
60006948,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,hrv
60007008,NA,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,2,14,11,nor
60007010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,nor
60007061,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,1,0,ita
60007067,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,ita
60007108,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,pol
60007249,NA,0,0,0,0,0,0,0,0,0,0,1,1,8,7,1,4,16,4,5,15,19,prt
60007252,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
