afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60001462,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,6,0,1,4,usa
60001525,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,2,0,1,0,15,0,usa
60001526,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,8,11,6,14,8,2,usa
60001527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,usa
60001536,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,usa
60001551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001555,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,usa
60001562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,usa
60001609,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,2,0,0,1,0,3,usa
60001635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001647,0,0,0,0,2,0,0,0,0,0,3,3,7,4,5,18,0,3,17,9,4,12,usa
60001673,0,2,0,0,5,0,0,0,0,0,0,0,0,3,5,0,3,0,7,0,0,6,usa
60001681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,usa
60001745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001769,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,usa
60001777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001844,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,usa
60001931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,usa
60001966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,usa
60002053,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,usa
60002058,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,2,usa
60002092,0,0,0,0,2,0,0,5,3,4,3,1,2,8,1,2,0,1,4,4,1,0,usa
60002146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60002149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60002162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002173,0,0,1,6,10,6,5,11,3,0,2,1,1,0,7,2,0,0,2,0,0,0,can
60002194,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,0,6,4,7,11,usa
60002214,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,5,3,3,3,3,2,usa
60002227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,usa
60002228,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,0,0,0,0,0,0,usa
60002243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,usa
60002262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,usa
60002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002306,0,0,0,0,0,1,0,0,10,0,0,4,0,12,3,3,3,6,15,14,13,14,can
60002333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,usa
60002339,0,0,0,0,0,0,0,0,0,0,3,0,14,1,10,5,10,9,1,0,6,3,usa
60002388,5,0,0,3,2,2,0,11,4,0,6,1,9,11,14,2,1,11,9,12,13,18,usa
60002396,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,usa
60002441,0,0,1,0,11,2,4,2,2,14,17,13,13,0,11,15,38,21,16,53,43,28,usa
60002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002476,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,4,3,8,6,1,1,15,usa
60002490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
