afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60002838,0,0,0,0,0,0,0,0,0,0,7,0,2,2,3,6,4,0,0,14,13,16,ita,yes
60002952,0,0,0,0,0,0,0,1,0,1,1,3,5,5,6,8,10,31,38,42,22,42,fin,yes
60002963,0,2,0,0,0,0,0,2,0,0,3,0,0,4,0,0,1,0,0,0,0,0,aut,yes
60002983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,esp,yes
60003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,16,6,ita,yes
60003044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,esp,yes
60003138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,esp,yes
60003156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,aut,yes
60003185,0,0,0,0,0,0,0,0,0,5,1,0,8,0,0,1,14,0,11,0,7,1,grc,yes
60003217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,tur,yes
60003230,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,4,grc,yes
60003237,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,2,14,4,0,3,4,fin,yes
60003247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt,no
60003349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60003354,0,0,0,0,0,0,0,0,0,12,3,3,1,0,0,0,0,0,0,0,0,0,hun,yes
60003367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,cze,yes
60003408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt,no
60003417,0,0,0,3,0,0,0,0,0,0,0,2,2,6,0,1,2,1,0,1,3,0,aut,yes
60003487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,esp,yes
60003662,1,0,0,0,0,0,2,4,4,0,0,6,2,0,4,3,0,2,4,5,2,6,esp,yes
60003665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isr,no
60003668,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,ita,yes
60003684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grc,no
60003686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60003687,0,0,0,0,0,2,0,2,0,0,3,1,5,0,0,0,8,0,1,2,0,0,dnk,yes
60003703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,isr,yes
60003767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che,no
60003858,1,4,4,3,5,4,3,4,6,4,7,2,3,2,9,4,8,10,14,36,34,23,swe,yes
60003938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor,no
60004047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hrv,no
60004060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,2,svn,yes
60004235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,prt,yes
60004300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,4,ita,yes
60004346,0,0,0,0,0,0,0,0,0,3,2,1,0,0,3,0,3,14,1,3,4,7,prt,yes
60004362,0,0,0,0,0,0,4,0,0,0,0,6,3,0,1,0,10,6,3,6,0,0,swe,yes
60004443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,esp,yes
60004498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk,no
60004502,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,tur,yes
60004591,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,3,2,1,6,8,6,10,ita,yes
60004638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,ita,yes
60004688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60004716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,grc,yes
60004718,1,0,2,0,0,0,0,0,3,3,1,0,0,3,10,7,6,18,41,7,16,10,che,yes
60004737,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,2,0,hun,yes
60004761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che,no
60004783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dnk,no
60004829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,dnk,yes
60004907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60004956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,prt,yes
60004962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,che,yes
60004969,0,0,0,0,0,0,2,0,0,0,2,0,0,2,9,2,4,0,9,0,3,1,ita,yes
60005037,0,0,0,0,0,0,0,0,5,0,0,0,9,4,0,5,27,14,10,11,6,33,isr,yes
60005102,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,2,2,4,5,7,2,nor,yes
60005141,0,0,0,0,2,0,1,0,3,13,2,6,2,9,11,13,7,1,3,0,10,13,irl,yes
60005299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,svk,no
60005308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60005400,0,0,0,0,0,0,0,0,4,0,1,3,2,0,0,2,2,9,0,3,0,0,ita,yes
60005479,0,0,0,0,0,0,0,0,3,4,2,4,10,4,1,6,1,4,5,7,6,8,esp,yes
60005563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60005593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tur,no
60005625,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,esp,yes
60005666,0,0,0,0,1,1,0,3,2,9,8,2,3,0,0,0,0,1,0,2,0,0,che,yes
60005681,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,2,9,2,14,3,isr,yes
60005779,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,aut,yes
60005803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,1,tur,yes
60005809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cze,no
60005828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bgr,no
60005871,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,yes
60005912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,esp,yes
60006179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,dnk,yes
60006224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,0,7,aut,yes
60006225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pol,yes
60006264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60006369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,tur,yes
60006425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin,no
60006460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,dnk,yes
60006461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,hrv,yes
60006564,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,18,0,2,9,10,dnk,yes
60006583,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,ita,yes
