afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60003362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,fra,yes
60003615,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,5,deu,yes
60003748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60003771,0,0,0,0,0,0,0,0,2,1,8,10,0,7,24,18,8,15,25,23,58,59,gbr,yes
60003878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nld,no
60003955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,14,0,0,0,0,gbr,yes
60004078,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,nld,yes
60004120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60004156,1,2,0,0,3,0,5,0,1,4,10,3,18,7,5,16,22,25,33,14,14,8,nld,yes
60004219,1,0,4,2,0,0,0,3,1,6,0,1,2,3,6,1,13,2,11,16,1,14,gbr,yes
60004250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60004382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60004410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60004492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60004572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,gbr,yes
60004636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60004689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60004692,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,14,0,1,deu,yes
60004708,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,gbr,yes
60004765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
