afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60013259,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,mex,yes
60013592,0,0,0,0,0,0,0,0,1,0,0,6,0,0,2,2,2,0,0,0,0,0,chl,yes
60013710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,bra,yes
60013792,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,6,0,0,2,bra,yes
60014024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60014120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,5,1,bra,yes
60014217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60014598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,5,1,bra,yes
60014878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60014923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,mex,yes
60014992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,bra,yes
60015043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,4,0,bra,yes
60015104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60015760,0,0,0,0,0,0,0,0,0,1,2,0,2,4,5,18,11,15,11,11,13,5,bra,yes
60016063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60016207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60016295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60016746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,bra,yes
60016828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,bra,yes
60017272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
60017323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,6,0,0,0,0,mex,yes
60017609,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,9,8,bra,yes
60017841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,bra,yes
60017903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,mex,yes
60018034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60018396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60019176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,mex,yes
60019376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60019654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60019832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60019875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60019907,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,3,arg,yes
60020004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60020402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,bra,yes
60020457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,7,bra,yes
60020776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,bra,yes
60021547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,bra,yes
60022388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60023193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
60023276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60023383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,chl,yes
60023520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chl,no
60023857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,5,1,11,2,bra,yes
60024559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60024989,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,5,7,13,bra,yes
60025378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
60025448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60025626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
60025701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,5,6,5,15,16,bra,yes
60025749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chl,no
60025875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60026004,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,2,0,15,4,0,2,bra,yes
60026021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60026757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60026891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,bra,yes
60027136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,bra,yes
60027226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60027524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60027866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bra,yes
60028176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60028247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60028381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,mex,yes
60028426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60028469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60028775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60028804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,arg,yes
60029159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,bra,yes
60029195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chl,no
60029570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,2,8,bra,yes
60029681,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,5,5,2,14,7,chl,yes
60029705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60030057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60030074,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,1,0,6,4,9,1,17,bra,yes
60030258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,arg,yes
60031335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
