afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60001562,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,usa
60001609,NA,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,2,0,0,1,0,usa
60001635,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001647,NA,0,0,0,0,2,0,0,0,0,0,3,3,7,4,5,18,0,3,17,9,4,usa
60001673,NA,0,2,0,0,5,0,0,0,0,0,0,0,0,3,5,0,3,0,7,0,0,usa
60001681,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,usa
60001745,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001769,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,usa
60001777,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001844,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,usa
60001931,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,usa
60001966,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60001989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,usa
60002053,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002058,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,usa
60002092,NA,0,0,0,0,2,0,0,5,3,4,3,1,2,8,1,2,0,1,4,4,1,usa
60002146,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60002149,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60002162,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002173,NA,0,0,1,6,10,6,5,11,3,0,2,1,1,0,7,2,0,0,2,0,0,can
60002194,NA,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,0,6,4,7,usa
60002214,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,5,3,3,3,3,usa
60002227,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,usa
60002228,NA,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,0,0,0,0,0,usa
60002243,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,usa
60002262,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,usa
60002288,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60002306,NA,0,0,0,0,0,1,0,0,10,0,0,4,0,12,3,3,3,6,15,14,13,can
