"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2"
"79",1996,NA,NA,"112960814","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112960814",NA,NA,NA,0,"112960814"
"80",1996,NA,NA,"112964053","chl",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112964053",NA,NA,NA,0,"112964053"
"81",1996,2014,2014,"113018289","bra",4,2,0.5,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113018289",NA,NA,NA,0,"113018289"
"82",1996,NA,NA,"113031991","chl",6,2,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113031991",NA,NA,NA,0,"113031991"
"83",1996,NA,NA,"113032046","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113032046",NA,NA,NA,0,"113032046"
"84",1996,NA,NA,"113042335","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113042335",NA,NA,NA,0,"113042335"
"85",1996,2015,2015,"113057382","bra",7,3,0.429,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"113057382",NA,NA,NA,0,"113057382"
"86",1996,2014,2014,"113073347","chl",2,2,1,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113073347",NA,NA,NA,0,"113073347"
"87",1996,NA,NA,"113094326","per",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113094326",NA,NA,NA,0,"113094326"
"88",1996,NA,NA,"113214059","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113214059",NA,NA,NA,0,"113214059"
"89",1996,NA,NA,"113221319","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113221319",NA,NA,NA,0,"113221319"
"90",1996,NA,NA,"113416246","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113416246",NA,NA,NA,0,"113416246"
"91",1996,2014,2014,"113446419","bra",9,4,0.444,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113446419",NA,NA,NA,0,"113446419"
"92",1996,NA,NA,"113459313","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113459313",NA,NA,NA,0,"113459313"
"93",1996,2015,2015,"113494769","bra",15,4,0.267,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"113494769",NA,NA,NA,0,"113494769"
"94",1996,2014,2014,"113536478","chl",14,4,0.286,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"113536478",NA,NA,NA,0,"113536478"
"95",1996,NA,NA,"113538643","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113538643",NA,NA,NA,0,"113538643"
"96",1996,NA,NA,"113728836","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113728836",NA,NA,NA,0,"113728836"
"97",1996,NA,NA,"113766373","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113766373",NA,NA,NA,0,"113766373"
"98",1996,NA,NA,"113801950","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113801950",NA,NA,NA,0,"113801950"
"99",1996,NA,NA,"113977903","arg",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113977903",NA,NA,NA,0,"113977903"
"100",1996,NA,NA,"114071465","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114071465",NA,NA,NA,0,"114071465"
"101",1996,NA,NA,"114100415","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114100415",NA,NA,NA,0,"114100415"
"102",1996,NA,NA,"114111167","chl",4,3,0.75,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114111167",NA,NA,NA,0,"114111167"
"103",1996,NA,NA,"114275143","arg",5,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114275143",NA,NA,NA,0,"114275143"
"104",1996,NA,NA,"114507722","ury",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114507722",NA,NA,NA,0,"114507722"
"105",1996,NA,NA,"114508481","bra",3,2,0.667,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114508481",NA,NA,NA,0,"114508481"
"106",1996,NA,NA,"114559841","bra",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114559841",NA,NA,NA,0,"114559841"
"107",1996,NA,NA,"114696458","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114696458",NA,NA,NA,0,"114696458"
"108",1996,2016,2016,"114850122","chl",2,0,0,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"114850122",NA,NA,NA,0,"114850122"
"109",1996,NA,NA,"115049582","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115049582",NA,NA,NA,0,"115049582"
"110",1996,NA,NA,"115074375","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115074375",NA,NA,NA,0,"115074375"
"111",1996,NA,NA,"115080430","bra",7,1,0.143,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115080430",NA,NA,NA,0,"115080430"
"112",1996,NA,NA,"115080724","bra",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115080724",NA,NA,NA,0,"115080724"
"113",1996,NA,NA,"115440318","bra",3,3,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115440318",NA,NA,NA,0,"115440318"
"114",1996,2017,2017,"116124714","chl",11,2,0.182,1996,2017,NA,NA,NA,NA,NA,NA,NA,NA,"116124714",NA,NA,NA,0,"116124714"
"115",1996,NA,NA,"116325173","bra",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116325173",NA,NA,NA,0,"116325173"
"116",1996,NA,NA,"116344618","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116344618",NA,NA,NA,0,"116344618"
"117",1996,NA,NA,"116344727","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116344727",NA,NA,NA,0,"116344727"
"118",1996,NA,NA,"117693697","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117693697",NA,NA,NA,0,"117693697"
"119",1996,NA,NA,"117873234","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117873234",NA,NA,NA,0,"117873234"
"120",1996,NA,NA,"117891351","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117891351",NA,NA,NA,0,"117891351"
"121",1996,NA,NA,"118162888","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118162888",NA,NA,NA,0,"118162888"
"122",1996,NA,NA,"118163044","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118163044",NA,NA,NA,0,"118163044"
"123",1996,NA,NA,"118163415","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118163415",NA,NA,NA,0,"118163415"
"124",1996,NA,NA,"118334561","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118334561",NA,NA,NA,0,"118334561"
"125",1996,NA,NA,"118612143","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118612143",NA,NA,NA,0,"118612143"
"126",1996,NA,NA,"118781700","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118781700",NA,NA,NA,0,"118781700"
"127",1996,NA,NA,"118892942","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118892942",NA,NA,NA,0,"118892942"
"128",1996,NA,NA,"119011755","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119011755",NA,NA,NA,0,"119011755"
"129",1996,NA,NA,"119199571","bra",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119199571",NA,NA,NA,0,"119199571"
"130",1996,NA,NA,"119701756","chl",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119701756",NA,NA,NA,0,"119701756"
"131",1996,NA,NA,"120325931","ury",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120325931",NA,NA,NA,0,"120325931"
"132",1996,NA,NA,"120325942","chl",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120325942",NA,NA,NA,0,"120325942"
"133",1996,2016,2016,"120325973","chl",6,0,0,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"120325973",NA,NA,NA,0,"120325973"
"134",1996,NA,NA,"120326003","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326003",NA,NA,NA,0,"120326003"
"135",1996,NA,NA,"120326290","bra",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326290",NA,NA,NA,0,"120326290"
"136",1996,NA,NA,"120326959","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120326959",NA,NA,NA,0,"120326959"
"137",1996,NA,NA,"120361918","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120361918",NA,NA,NA,0,"120361918"
"138",1996,NA,NA,"120373044","mex",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120373044",NA,NA,NA,0,"120373044"
"139",1996,NA,NA,"120395665","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120395665",NA,NA,NA,0,"120395665"
"140",1996,2002,2002,"60000036","bra",62,17,0.274,1996,2002,NA,NA,NA,NA,NA,NA,NA,NA,"60000036",NA,NA,NA,0,"60000036"
"141",1996,NA,NA,"60000263","arg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000263",NA,NA,NA,0,"60000263"
"142",1996,2008,2008,"60000509","bra",85,15,0.176,1996,2008,NA,NA,NA,NA,NA,NA,NA,NA,"60000509",NA,NA,NA,0,"60000509"
"143",1996,NA,NA,"60000590","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000590",NA,NA,NA,0,"60000590"
"144",1996,2006,2006,"60000658","arg",5,2,0.4,1996,2006,NA,NA,NA,NA,NA,NA,NA,NA,"60000658",NA,NA,NA,0,"60000658"
"145",1996,NA,NA,"60000958","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60000958",NA,NA,NA,0,"60000958"
"146",1996,2016,2016,"60001282","chl",12,2,0.167,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"60001282",NA,NA,NA,0,"60001282"
"147",1996,2007,2007,"60001563","arg",15,10,0.667,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"60001563",NA,NA,NA,0,"60001563"
