afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60003138,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5
60003156,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0
60003185,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0.428571429
60003217,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
60003230,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1,0,0,0,0
60003237,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.5,0,0.75,0,0.333333333
60003247,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003349,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003354,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003367,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003408,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003417,NA,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60003487,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.666666667
60003662,NA,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0.5,0,0.2,0.5
60003665,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003668,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
60003684,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003686,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003687,NA,0,0,0,0,0,0.5,0,0.5,0,0,0.333333333,1,0.4,0,0,0,0.125,0,1,0.5,0
60003703,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0
60003767,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60003858,NA,0,0,0,0.333333333,0.2,0.5,0.666666667,0.5,0,0,0.142857143,0,0,0,0.222222222,0,0.125,0,0.071428571,0.138888889,0.088235294
60003938,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
60004235,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004300,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.833333333,0.5,0
60004346,NA,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0,0,0,0.333333333,0,0.666666667,0,0,0,0.5
60004362,NA,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0,0,0.2,0.166666667,0.333333333,0.166666667,0
60004443,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004498,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004502,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004591,NA,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,1,1,1,0.5,0.625,0.166666667
60004638,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004688,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004716,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
60004718,NA,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.048780488,0.142857143,0.25
60004737,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0
60004761,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004783,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004829,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0
60004907,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60004956,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6
60004962,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0
60004969,NA,0,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0.5,0,0,0,0.666666667
60005037,NA,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0.4,0.333333333,0.142857143,0.2,0.272727273,0.666666667
60005102,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.285714286
60005141,NA,0,0,0,0,0,0,1,0,0.333333333,0,0.5,0,0,0.111111111,0.090909091,0.153846154,0.142857143,0,0.333333333,0,0.2
60005299,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005308,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005400,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.333333333,0,1,0
60005479,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.285714286,0.333333333
60005563,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005593,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005625,NA,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005666,NA,0,0,0,0,0,0,0,0,0,0.444444444,0.375,1,0.333333333,0,0,0,0,0,0,0.5,0
60005681,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.222222222,0,0.142857143
60005779,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005803,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0
60005809,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005828,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005871,NA,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
60005912,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.5,0
60006179,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006224,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0
60006225,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006264,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
