"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"38",1996,2011,2011,"108105825","bra",8,4,0.5,1996,2011,NA,NA,NA,NA,NA,NA,NA,NA,"108105825",NA,NA,NA,0,"108105825",NA
"39",1996,NA,NA,"108144356","bra",7,3,0.429,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108144356",NA,NA,NA,0,"108144356",NA
"40",1996,NA,NA,"108166353","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108166353",NA,NA,NA,0,"108166353",NA
"41",1996,NA,NA,"109031071","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109031071",NA,NA,NA,0,"109031071",NA
"42",1996,NA,NA,"109168615","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109168615",NA,NA,NA,0,"109168615",NA
"43",1996,2014,2014,"109408424","bra",14,3,0.214,1996,2014,NA,NA,NA,NA,NA,NA,NA,NA,"109408424",NA,NA,NA,0,"109408424",NA
"44",1996,NA,NA,"109435174","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109435174",NA,NA,NA,0,"109435174",NA
"45",1996,NA,NA,"109587105","chl",6,3,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109587105",NA,NA,NA,0,"109587105",NA
"46",1996,NA,NA,"109589051","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109589051",NA,NA,NA,0,"109589051",NA
"47",1996,NA,NA,"109649933","chl",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109649933",NA,NA,NA,0,"109649933",NA
"48",1996,NA,NA,"109996328","bra",8,1,0.125,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109996328",NA,NA,NA,0,"109996328",NA
"49",1996,NA,NA,"110071877","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110071877",NA,NA,NA,0,"110071877",NA
"50",1996,2013,2013,"110112386","bra",4,3,0.75,1996,2013,NA,NA,NA,NA,NA,NA,NA,NA,"110112386",NA,NA,NA,0,"110112386",NA
