afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,community
60002414,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002443,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002445,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,Asia-Pacific (core)
60002561,NA,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.5,0,0,0.75,Asia-Pacific (core)
60002593,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.125,0.5,0.176470588,0.375,0.052631579,Asia-Pacific (core)
60002773,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666667,0,0.666666667,0,Asia-Pacific (core)
60002783,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0,0.1,0,Asia-Pacific (core)
60002784,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002786,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002787,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,1,0.666666667,0,0.2,0.272727273,0.4,Asia-Pacific (core)
60002789,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002790,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Asia-Pacific (core)
60002813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,Asia-Pacific (core)
60002821,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0.1,0,Asia-Pacific (core)
60002833,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002836,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002877,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002948,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,Asia-Pacific (core)
60003013,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,Asia-Pacific (core)
60003028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003076,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003087,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0,0,0.714285714,0,0,0,Asia-Pacific (core)
60003105,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003146,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,Asia-Pacific (core)
60003181,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,Asia-Pacific (core)
60003303,NA,0,0,0,0,0,0,0,0,0.333333333,1,0,0.833333333,0,0.1,0.142857143,0.181818182,0.5,0.235294118,0.2,0.125,0.1,Asia-Pacific (core)
60003381,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003394,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
