per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2003,2003,60032211,usa,17,8,0.471,1996,2003,usa,1,2,1,1996,60032211,NA,0,NA,NA,NA,60032211
1996,2006,2006,60032706,usa,16,3,0.188,1996,2006,usa,1,1,1,1996,60032706,NA,0,NA,NA,NA,60032706
1996,1997,1997,60032838,usa,265,96,0.362,1996,1997,usa,1,2,2,1996,60032838,NA,0,NA,NA,NA,60032838
1996,1997,1997,60085927,can,17,8,0.471,1996,1997,can,3,8,3,1996,60085927,NA,0,NA,NA,NA,60085927
1997,1997,1997,60001117,usa,221,94,0.425,1997,1997,usa,1,2,1,1996,60001117,0,1,0,0,0,60001117
1997,1997,1997,60001344,usa,5,2,0.4,1997,1997,usa,1,1,1,1996,60001344,0,1,0,0,0,60001344
1997,1997,1997,60001439,usa,51,26,0.51,1997,1997,usa,2,5,4,1996,60001439,0,1,0,0,0,60001439
1997,2000,2000,60001673,usa,11,3,0.273,1997,2000,usa,1,2,2,1997,60001673,0,0,0,0,0,60001673
1997,1998,1998,60002173,can,45,26,0.578,1997,1998,can,1,1,1,1997,60002173,0,0,0,0,0,60002173
1997,1996,1996,60002746,usa,1058,458,0.433,1997,1996,usa,6,10,3,1996,60002746,0.6,1,0.2,0,0.4,60002746
1997,2009,2009,60003214,usa,2,0,0,1997,2009,usa,1,1,1,1997,60003214,0,0,0,0,0,60003214
1997,1998,1998,60003269,usa,129,54,0.419,1997,1998,usa,2,6,4,1997,60003269,0,0,0,0,0,60003269
1997,1998,1998,60003526,usa,7,3,0.429,1997,1998,usa,1,2,1,1997,60003526,0,0,0,0,0,60003526
1997,1998,1998,60003711,usa,198,68,0.343,1997,1998,usa,1,4,3,1997,60003711,0,0,0,0,0,60003711
1997,1997,1997,60003999,usa,9,4,0.444,1997,1997,usa,1,2,2,1996,60003999,1,1,0,0,1,60003999
1997,1998,1998,60005200,usa,311,83,0.267,1997,1998,usa,1,2,1,1997,60005200,0,0,0,0,0,60005200
1997,1997,1997,60005248,usa,196,66,0.337,1997,1997,usa,3,9,1,1996,60005248,0,1,0,0,0,60005248
1997,1999,1999,60006173,usa,45,5,0.111,1997,1999,usa,1,2,1,1997,60006173,0,0,0,0,0,60006173
1997,1996,1996,60006297,usa,385,137,0.356,1997,1996,usa,4,9,3,1996,60006297,0.368421053,1,0.11,0,0.26,60006297
1997,1998,1998,60006385,usa,108,40,0.37,1997,1998,usa,1,2,1,1997,60006385,0,0,0,0,0,60006385
1997,1997,1997,60006404,usa,35,16,0.457,1997,1997,usa,1,1,1,1996,60006404,0,1,0,0,0,60006404
1997,2000,2000,60007103,usa,74,42,0.568,1997,2000,usa,1,1,1,1997,60007103,0,0,0,0,0,60007103
1997,1998,1998,60007278,usa,94,35,0.372,1997,1998,usa,1,2,2,1997,60007278,0,0,0,0,0,60007278
1997,1998,1998,60007776,usa,109,37,0.339,1997,1998,usa,2,6,2,1997,60007776,0,0,0,0,0,60007776
1997,1999,1999,60008724,usa,242,65,0.269,1997,1999,usa,1,1,1,1997,60008724,0,0,0,0,0,60008724
