afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60003878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nld
60003955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,14,0,0,0,0,gbr
60004078,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,nld
60004120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60004156,0,1,0,0,1,0,5,0,1,1,6,3,15,6,4,15,19,23,28,12,13,6,nld
60004219,0,0,3,1,0,0,0,1,0,5,0,1,0,1,5,1,12,2,8,14,1,12,gbr
60004250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60004382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60004410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60004492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60004572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,gbr
60004636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60004689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60004692,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,12,0,1,deu
60004708,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,gbr
60004765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60004898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,deu
60004981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60005036,0,0,0,1,1,1,0,0,3,4,2,5,0,0,4,1,0,2,7,18,18,29,deu
60005164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60005285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60005322,0,1,0,0,0,0,1,0,3,0,0,0,3,6,3,5,4,8,0,3,6,1,deu
60005368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60005370,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fra
60005453,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,gbr
60005460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60005517,0,0,0,0,0,1,1,0,14,12,3,15,5,20,12,24,15,56,39,38,39,23,gbr
60005518,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,0,17,5,8,9,21,gbr
60005542,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,11,0,0,7,9,deu
60005634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60005640,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,5,0,9,3,7,fra
60005667,0,0,0,0,1,0,2,1,5,2,0,6,7,1,0,8,13,6,9,2,2,0,fra
60005711,0,0,3,0,3,0,4,6,0,0,3,2,4,9,16,15,23,23,21,53,25,15,fra
60005766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60005807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60005851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,fra
60005915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60006027,0,0,0,0,0,0,0,0,0,0,6,0,2,6,7,0,8,22,5,22,12,26,nld
60006070,0,0,0,0,0,0,0,0,0,1,1,1,10,0,0,1,1,10,13,12,7,6,deu
60006089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60006105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60006222,0,0,0,0,9,0,3,8,2,7,2,0,2,1,0,1,10,16,20,20,19,8,gbr
60006253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,deu
60006288,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,7,2,0,0,1,nld
60006380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60006384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,1,0,deu
