"","toa","thr","diffnet_new$toa"
"100358996","Early Majority","High Thresh.",2006
"100359243","Non-Adopters","Non-Adopters",NA
"100359391","Non-Adopters","Non-Adopters",NA
"100359650","Non-Adopters","Non-Adopters",NA
"100359982","Non-Adopters","Non-Adopters",NA
"100360531","Non-Adopters","Non-Adopters",NA
"100360789","Non-Adopters","Non-Adopters",NA
"100361106","Non-Adopters","Non-Adopters",NA
"100361221","Non-Adopters","Non-Adopters",NA
"100361595","Non-Adopters","Non-Adopters",NA
"100362182","Non-Adopters","Non-Adopters",NA
"100362273","Non-Adopters","Non-Adopters",NA
"100362433","Late Majority","High Thresh.",2011
"100363603","Non-Adopters","Non-Adopters",NA
"100363754","Non-Adopters","Non-Adopters",NA
"100363806","Non-Adopters","Non-Adopters",NA
"100364009","Late Majority","Low Thresh.",2013
"100365467","Non-Adopters","Non-Adopters",NA
"100366544","Non-Adopters","Non-Adopters",NA
"100366743","Non-Adopters","Non-Adopters",NA
"100367923","Non-Adopters","Non-Adopters",NA
"100368143","Non-Adopters","Non-Adopters",NA
"100368252","Non-Adopters","Non-Adopters",NA
"100368293","Non-Adopters","Non-Adopters",NA
"100368611","Laggards","High Thresh.",2017
"100369242","Late Majority","High Thresh.",2013
"100370048","Late Majority","High Thresh.",2012
"100370510","Non-Adopters","Non-Adopters",NA
"100370619","Non-Adopters","Non-Adopters",NA
"100371285","Non-Adopters","Non-Adopters",NA
"100371654","Non-Adopters","Non-Adopters",NA
"100371942","Non-Adopters","Non-Adopters",NA
"100372383","Early Majority","High Thresh.",2007
"100372475","Non-Adopters","Non-Adopters",NA
"100372538","Late Majority","Very Low Thresh.",2013
"100372958","Early Majority","High Thresh.",2008
"100373345","Early Majority","Low Thresh.",2006
"100373462","Non-Adopters","Non-Adopters",NA
"100374264","Non-Adopters","Non-Adopters",NA
"100374362","Non-Adopters","Non-Adopters",NA
"100374676","Non-Adopters","Non-Adopters",NA
"100375394","Non-Adopters","Non-Adopters",NA
"100376365","Non-Adopters","Non-Adopters",NA
"100376874","Non-Adopters","Non-Adopters",NA
"100377278","Non-Adopters","Non-Adopters",NA
"100377373","Non-Adopters","Non-Adopters",NA
"100378586","Non-Adopters","Non-Adopters",NA
"100379632","Non-Adopters","Non-Adopters",NA
"100380370","Early Majority","High Thresh.",2008
"100380647","Non-Adopters","Non-Adopters",NA
"100381390","Non-Adopters","Non-Adopters",NA
"100381888","Non-Adopters","Non-Adopters",NA
"100383956","Late Majority","High Thresh.",2011
"100384011","Early Adopters","High Thresh.",2003
"100384665","Early Majority","High Thresh.",2009
"100385347","Non-Adopters","Non-Adopters",NA
"100385401","Early Majority","High Thresh.",2006
"100385813","Non-Adopters","Non-Adopters",NA
"100385962","Non-Adopters","Non-Adopters",NA
"100387772","Non-Adopters","Non-Adopters",NA
"100388706","Laggards","High Thresh.",2017
"100389830","Non-Adopters","Non-Adopters",NA
"100390211","Late Majority","High Thresh.",2014
"100391329","Non-Adopters","Non-Adopters",NA
"100391403","Non-Adopters","Non-Adopters",NA
"100392806","Early Adopters","High Thresh.",2004
"100393154","Late Majority","High Thresh.",2015
"100393165","Non-Adopters","Non-Adopters",NA
"100394182","Non-Adopters","Non-Adopters",NA
"100394276","Non-Adopters","Non-Adopters",NA
"100395044","Non-Adopters","Non-Adopters",NA
"100395080","Non-Adopters","Non-Adopters",NA
"100395413","Non-Adopters","Non-Adopters",NA
"100395468","Non-Adopters","Non-Adopters",NA
"100396684","Laggards","Low Thresh.",2017
"100397429","Non-Adopters","Non-Adopters",NA
"100397456","Non-Adopters","Non-Adopters",NA
"100397956","Non-Adopters","Non-Adopters",NA
"100398661","Late Majority","High Thresh.",2012
"100398691","Non-Adopters","Non-Adopters",NA
"100398731","Non-Adopters","Non-Adopters",NA
"100399317","Non-Adopters","Non-Adopters",NA
"100399697","Non-Adopters","Non-Adopters",NA
"100399877","Non-Adopters","Non-Adopters",NA
"100400585","Non-Adopters","Non-Adopters",NA
"100401573","Non-Adopters","Non-Adopters",NA
"100402381","Non-Adopters","Non-Adopters",NA
"100403153","Non-Adopters","Non-Adopters",NA
"100404543","Non-Adopters","Non-Adopters",NA
"100404574","Non-Adopters","Non-Adopters",NA
"100404844","Non-Adopters","Non-Adopters",NA
"100406088","Non-Adopters","Non-Adopters",NA
"100406834","Non-Adopters","Non-Adopters",NA
"100408305","Non-Adopters","Non-Adopters",NA
"100410716","Early Majority","High Thresh.",2005
"100412890","Non-Adopters","Non-Adopters",NA
"100412986","Non-Adopters","Non-Adopters",NA
"100413520","Non-Adopters","Non-Adopters",NA
"100414207","Early Adopters","Very Low Thresh.",2003
"100414470","Non-Adopters","Non-Adopters",NA
"100414655","Non-Adopters","Non-Adopters",NA
"100416252","Non-Adopters","Non-Adopters",NA
"100418380","Non-Adopters","Non-Adopters",NA
"100418659","Early Adopters","High Thresh.",2004
"100420705","Non-Adopters","Non-Adopters",NA
"100421750","Late Majority","High Thresh.",2015
"100424727","Non-Adopters","Non-Adopters",NA
"100425528","Early Adopters","Very Low Thresh.",2003
"100426730","Non-Adopters","Non-Adopters",NA
"100429588","Non-Adopters","Non-Adopters",NA
"100429676","Non-Adopters","Non-Adopters",NA
"100430027","Early Majority","High Thresh.",2010
"100430336","Non-Adopters","Non-Adopters",NA
"100430422","Non-Adopters","Non-Adopters",NA
"100431488","Non-Adopters","Non-Adopters",NA
"100431795","Non-Adopters","Non-Adopters",NA
"100432058","Non-Adopters","Non-Adopters",NA
"100432357","Early Majority","Very Low Thresh.",2007
"100432539","Non-Adopters","Non-Adopters",NA
"100432577","Non-Adopters","Non-Adopters",NA
"100432579","Non-Adopters","Non-Adopters",NA
"100432788","Non-Adopters","Non-Adopters",NA
"100433187","Non-Adopters","Non-Adopters",NA
"100434066","Non-Adopters","Non-Adopters",NA
"100434272","Early Majority","High Thresh.",2007
"100436452","Non-Adopters","Non-Adopters",NA
"100436870","Non-Adopters","Non-Adopters",NA
"100436998","Non-Adopters","Non-Adopters",NA
"100437166","Non-Adopters","Non-Adopters",NA
"100437270","Non-Adopters","Non-Adopters",NA
"100437990","Non-Adopters","Non-Adopters",NA
"100439023","Non-Adopters","Non-Adopters",NA
"100439042","Non-Adopters","Non-Adopters",NA
"100439255","Non-Adopters","Non-Adopters",NA
"100439650","Non-Adopters","Non-Adopters",NA
"100442140","Non-Adopters","Non-Adopters",NA
"100442227","Non-Adopters","Non-Adopters",NA
"100443262","Non-Adopters","Non-Adopters",NA
"100444938","Non-Adopters","Non-Adopters",NA
"100446264","Non-Adopters","Non-Adopters",NA
"100447416","Early Adopters","High Thresh.",2003
"100449860","Non-Adopters","Non-Adopters",NA
"100452297","Non-Adopters","Non-Adopters",NA
"100454047","Non-Adopters","Non-Adopters",NA
"100454649","Early Adopters","Very Low Thresh.",2001
"100455531","Non-Adopters","Non-Adopters",NA
"100457533","Non-Adopters","Non-Adopters",NA
"100459756","Non-Adopters","Non-Adopters",NA
"100460593","Non-Adopters","Non-Adopters",NA
"100461140","Non-Adopters","Non-Adopters",NA
"100464401","Non-Adopters","Non-Adopters",NA
"100465473","Non-Adopters","Non-Adopters",NA
"100468016","Non-Adopters","Non-Adopters",NA
"100469610","Laggards","Very Low Thresh.",2016
"100471672","Non-Adopters","Non-Adopters",NA
"100471963","Early Majority","High Thresh.",2006
"100473840","Late Majority","High Thresh.",2015
"100474394","Non-Adopters","Non-Adopters",NA
"100476127","Non-Adopters","Non-Adopters",NA
"100477716","Non-Adopters","Non-Adopters",NA
"100478086","Non-Adopters","Non-Adopters",NA
"100479157","Non-Adopters","Non-Adopters",NA
"100481479","Late Majority","High Thresh.",2013
"100482957","Early Majority","Low Thresh.",2007
"100483186","Non-Adopters","Non-Adopters",NA
"100483699","Non-Adopters","Non-Adopters",NA
"100487513","Non-Adopters","Non-Adopters",NA
"100488252","Non-Adopters","Non-Adopters",NA
"100489435","Non-Adopters","Non-Adopters",NA
"100490960","Early Majority","High Thresh.",2007
"100491347","Non-Adopters","Non-Adopters",NA
"100491653","Non-Adopters","Non-Adopters",NA
"100492032","Non-Adopters","Non-Adopters",NA
"100492214","Non-Adopters","Non-Adopters",NA
"100492861","Non-Adopters","Non-Adopters",NA
"100494832","Non-Adopters","Non-Adopters",NA
"100495971","Non-Adopters","Non-Adopters",NA
"100496411","Non-Adopters","Non-Adopters",NA
"100496833","Non-Adopters","Non-Adopters",NA
"100497089","Non-Adopters","Non-Adopters",NA
"100497283","Non-Adopters","Non-Adopters",NA
"100497441","Non-Adopters","Non-Adopters",NA
"100500950","Non-Adopters","Non-Adopters",NA
"100501703","Non-Adopters","Non-Adopters",NA
"100503196","Non-Adopters","Non-Adopters",NA
"100504081","Non-Adopters","Non-Adopters",NA
"100504928","Non-Adopters","Non-Adopters",NA
"100505015","Non-Adopters","Non-Adopters",NA
"100505735","Non-Adopters","Non-Adopters",NA
"100506014","Non-Adopters","Non-Adopters",NA
"100506042","Late Majority","High Thresh.",2015
"100506118","Non-Adopters","Non-Adopters",NA
"100507466","Non-Adopters","Non-Adopters",NA
"100507542","Non-Adopters","Non-Adopters",NA
"100507835","Non-Adopters","Non-Adopters",NA
"100508247","Non-Adopters","Non-Adopters",NA
"100510982","Laggards","High Thresh.",2017
"100511309","Non-Adopters","Non-Adopters",NA
"100511854","Late Majority","High Thresh.",2011
"100512344","Non-Adopters","Non-Adopters",NA
"100512425","Non-Adopters","Non-Adopters",NA
"100515221","Non-Adopters","Non-Adopters",NA
"100515686","Non-Adopters","Non-Adopters",NA
"100518334","Non-Adopters","Non-Adopters",NA
"100518552","Non-Adopters","Non-Adopters",NA
"100519501","Non-Adopters","Non-Adopters",NA
"100524708","Non-Adopters","Non-Adopters",NA
"100525478","Non-Adopters","Non-Adopters",NA
"100525529","Non-Adopters","Non-Adopters",NA
"100525866","Late Majority","High Thresh.",2013
"100527413","Non-Adopters","Non-Adopters",NA
"100528017","Early Adopters","Very Low Thresh.",2000
"100528374","Early Majority","High Thresh.",2010
"100528538","Non-Adopters","Non-Adopters",NA
"100528577","Non-Adopters","Non-Adopters",NA
"100529026","Non-Adopters","Non-Adopters",NA
"100529094","Non-Adopters","Non-Adopters",NA
"100530154","Non-Adopters","Non-Adopters",NA
"100532109","Non-Adopters","Non-Adopters",NA
"100532196","Late Majority","High Thresh.",2013
"100533446","Non-Adopters","Non-Adopters",NA
"100535064","Non-Adopters","Non-Adopters",NA
"100538716","Non-Adopters","Non-Adopters",NA
"100541188","Non-Adopters","Non-Adopters",NA
"100541698","Early Majority","High Thresh.",2010
"100546782","Non-Adopters","Non-Adopters",NA
"100547567","Non-Adopters","Non-Adopters",NA
"100548882","Non-Adopters","Non-Adopters",NA
"100553531","Non-Adopters","Non-Adopters",NA
"100553593","Non-Adopters","Non-Adopters",NA
"100554309","Late Majority","High Thresh.",2012
"100554861","Non-Adopters","Non-Adopters",NA
"100558001","Non-Adopters","Non-Adopters",NA
"100559115","Early Majority","Very Low Thresh.",2006
"100559860","Non-Adopters","Non-Adopters",NA
"100560033","Non-Adopters","Non-Adopters",NA
"100566524","Non-Adopters","Non-Adopters",NA
"100567124","Non-Adopters","Non-Adopters",NA
"100567471","Non-Adopters","Non-Adopters",NA
"100568187","Laggards","Low Thresh.",2017
"100568863","Non-Adopters","Non-Adopters",NA
"100569017","Non-Adopters","Non-Adopters",NA
"100569339","Non-Adopters","Non-Adopters",NA
"100570348","Non-Adopters","Non-Adopters",NA
"100570744","Non-Adopters","Non-Adopters",NA
"100570850","Non-Adopters","Non-Adopters",NA
"100576001","Non-Adopters","Non-Adopters",NA
"100576524","Early Adopters","High Thresh.",2000
"100576964","Non-Adopters","Non-Adopters",NA
"100579384","Non-Adopters","Non-Adopters",NA
"100582704","Non-Adopters","Non-Adopters",NA
"100584332","Non-Adopters","Non-Adopters",NA
"100585232","Non-Adopters","Non-Adopters",NA
"100585544","Non-Adopters","Non-Adopters",NA
"100586526","Non-Adopters","Non-Adopters",NA
"100587752","Late Majority","High Thresh.",2012
"100588477","Non-Adopters","Non-Adopters",NA
"100589198","Non-Adopters","Non-Adopters",NA
"100590482","Non-Adopters","Non-Adopters",NA
"100591137","Non-Adopters","Non-Adopters",NA
"100592611","Early Majority","Low Thresh.",2009
"100592952","Non-Adopters","Non-Adopters",NA
"100596497","Non-Adopters","Non-Adopters",NA
"100597618","Early Majority","High Thresh.",2006
"100597964","Non-Adopters","Non-Adopters",NA
"100599170","Non-Adopters","Non-Adopters",NA
"100600773","Non-Adopters","Non-Adopters",NA
"100601121","Non-Adopters","Non-Adopters",NA
"100601507","Late Majority","High Thresh.",2012
"100602682","Non-Adopters","Non-Adopters",NA
"100602844","Non-Adopters","Non-Adopters",NA
"100604945","Non-Adopters","Non-Adopters",NA
"100605096","Non-Adopters","Non-Adopters",NA
"100606421","Non-Adopters","Non-Adopters",NA
"100606438","Non-Adopters","Non-Adopters",NA
"100607944","Non-Adopters","Non-Adopters",NA
"100609066","Non-Adopters","Non-Adopters",NA
"100609876","Early Majority","High Thresh.",2009
"100610458","Non-Adopters","Non-Adopters",NA
"100612318","Non-Adopters","Non-Adopters",NA
"100612652","Non-Adopters","Non-Adopters",NA
"100614061","Non-Adopters","Non-Adopters",NA
"100614903","Early Adopters","Low Thresh.",2004
"100615288","Non-Adopters","Non-Adopters",NA
"100615463","Non-Adopters","Non-Adopters",NA
"100617376","Non-Adopters","Non-Adopters",NA
"100622810","Laggards","High Thresh.",2017
"100622846","Non-Adopters","Non-Adopters",NA
"100623475","Non-Adopters","Non-Adopters",NA
"100627050","Non-Adopters","Non-Adopters",NA
"100628743","Non-Adopters","Non-Adopters",NA
