"","toa","thr","diffnet_new$toa"
"112985403","Late Majority","High Thresh.",2013
"112985650","Non-Adopters","Non-Adopters",NA
"112988140","Non-Adopters","Non-Adopters",NA
"112994768","Non-Adopters","Non-Adopters",NA
"112997186","Non-Adopters","Non-Adopters",NA
"113001412","Non-Adopters","Non-Adopters",NA
"113009244","Non-Adopters","Non-Adopters",NA
"113009448","Non-Adopters","Non-Adopters",NA
"113011403","Non-Adopters","Non-Adopters",NA
"113012746","Non-Adopters","Non-Adopters",NA
"113016858","Non-Adopters","Non-Adopters",NA
"113018289","Late Majority","High Thresh.",2014
"113020268","Non-Adopters","Non-Adopters",NA
"113020544","Non-Adopters","Non-Adopters",NA
"113020725","Non-Adopters","Non-Adopters",NA
"113020821","Non-Adopters","Non-Adopters",NA
"113023695","Non-Adopters","Non-Adopters",NA
"113024189","Late Majority","High Thresh.",2015
"113026324","Non-Adopters","Non-Adopters",NA
"113031991","Non-Adopters","Non-Adopters",NA
"113032046","Non-Adopters","Non-Adopters",NA
"113032102","Non-Adopters","Non-Adopters",NA
"113034094","Non-Adopters","Non-Adopters",NA
"113034123","Non-Adopters","Non-Adopters",NA
"113036783","Non-Adopters","Non-Adopters",NA
"113041102","Non-Adopters","Non-Adopters",NA
"113041323","Non-Adopters","Non-Adopters",NA
"113041927","Non-Adopters","Non-Adopters",NA
"113041932","Late Majority","High Thresh.",2015
"113042335","Non-Adopters","Non-Adopters",NA
"113044668","Non-Adopters","Non-Adopters",NA
"113045023","Non-Adopters","Non-Adopters",NA
"113046488","Late Majority","High Thresh.",2013
"113057382","Late Majority","High Thresh.",2015
"113060457","Late Majority","High Thresh.",2014
"113061985","Non-Adopters","Non-Adopters",NA
"113063784","Late Majority","Low Thresh.",2013
"113063796","Non-Adopters","Non-Adopters",NA
"113064431","Non-Adopters","Non-Adopters",NA
"113071613","Non-Adopters","Non-Adopters",NA
"113071699","Non-Adopters","Non-Adopters",NA
"113073347","Late Majority","Low Thresh.",2014
"113073719","Non-Adopters","Non-Adopters",NA
"113075047","Non-Adopters","Non-Adopters",NA
"113077249","Non-Adopters","Non-Adopters",NA
"113081383","Non-Adopters","Non-Adopters",NA
"113083139","Non-Adopters","Non-Adopters",NA
"113085760","Non-Adopters","Non-Adopters",NA
"113088072","Non-Adopters","Non-Adopters",NA
"113091451","Non-Adopters","Non-Adopters",NA
"113092823","Non-Adopters","Non-Adopters",NA
"113094208","Non-Adopters","Non-Adopters",NA
"113094326","Non-Adopters","Non-Adopters",NA
"113094393","Non-Adopters","Non-Adopters",NA
"113098008","Non-Adopters","Non-Adopters",NA
"113105183","Late Majority","High Thresh.",2014
"113110460","Non-Adopters","Non-Adopters",NA
"113113961","Non-Adopters","Non-Adopters",NA
"113114051","Non-Adopters","Non-Adopters",NA
"113114083","Late Majority","High Thresh.",2014
"113114498","Non-Adopters","Non-Adopters",NA
"113114621","Non-Adopters","Non-Adopters",NA
"113114938","Non-Adopters","Non-Adopters",NA
"113124799","Non-Adopters","Non-Adopters",NA
"113130328","Laggards","High Thresh.",2017
"113130739","Non-Adopters","Non-Adopters",NA
"113130967","Non-Adopters","Non-Adopters",NA
"113133292","Non-Adopters","Non-Adopters",NA
"113134873","Non-Adopters","Non-Adopters",NA
"113139490","Laggards","Low Thresh.",2017
"113139801","Non-Adopters","Non-Adopters",NA
"113139891","Non-Adopters","Non-Adopters",NA
"113140017","Non-Adopters","Non-Adopters",NA
"113140441","Laggards","High Thresh.",2017
"113140471","Non-Adopters","Non-Adopters",NA
"113141782","Non-Adopters","Non-Adopters",NA
"113141961","Non-Adopters","Non-Adopters",NA
"113142910","Non-Adopters","Non-Adopters",NA
"113143134","Non-Adopters","Non-Adopters",NA
"113145923","Non-Adopters","Non-Adopters",NA
"113145959","Non-Adopters","Non-Adopters",NA
"113154848","Non-Adopters","Non-Adopters",NA
"113157519","Non-Adopters","Non-Adopters",NA
"113160928","Non-Adopters","Non-Adopters",NA
"113162461","Non-Adopters","Non-Adopters",NA
"113162892","Non-Adopters","Non-Adopters",NA
"113163345","Non-Adopters","Non-Adopters",NA
"113166822","Non-Adopters","Non-Adopters",NA
"113167100","Non-Adopters","Non-Adopters",NA
"113167224","Late Majority","High Thresh.",2015
"113169130","Late Majority","High Thresh.",2015
"113179473","Non-Adopters","Non-Adopters",NA
"113181310","Non-Adopters","Non-Adopters",NA
"113182633","Non-Adopters","Non-Adopters",NA
"113183767","Non-Adopters","Non-Adopters",NA
"113184029","Non-Adopters","Non-Adopters",NA
"113188828","Non-Adopters","Non-Adopters",NA
"113190932","Non-Adopters","Non-Adopters",NA
"113190989","Non-Adopters","Non-Adopters",NA
"113191163","Non-Adopters","Non-Adopters",NA
"113193098","Non-Adopters","Non-Adopters",NA
"113194631","Non-Adopters","Non-Adopters",NA
"113195008","Non-Adopters","Non-Adopters",NA
"113196353","Non-Adopters","Non-Adopters",NA
"113196638","Laggards","High Thresh.",2017
"113201035","Late Majority","High Thresh.",2014
"113202724","Non-Adopters","Non-Adopters",NA
"113202960","Non-Adopters","Non-Adopters",NA
"113205303","Non-Adopters","Non-Adopters",NA
"113205308","Non-Adopters","Non-Adopters",NA
"113212101","Non-Adopters","Non-Adopters",NA
"113213086","Non-Adopters","Non-Adopters",NA
"113213241","Non-Adopters","Non-Adopters",NA
"113213250","Laggards","High Thresh.",2016
"113213389","Non-Adopters","Non-Adopters",NA
"113214059","Non-Adopters","Non-Adopters",NA
"113216301","Non-Adopters","Non-Adopters",NA
"113217099","Non-Adopters","Non-Adopters",NA
"113217847","Early Majority","High Thresh.",2010
"113221319","Non-Adopters","Non-Adopters",NA
"113221788","Late Majority","High Thresh.",2013
"113223177","Non-Adopters","Non-Adopters",NA
"113225171","Non-Adopters","Non-Adopters",NA
"113225416","Non-Adopters","Non-Adopters",NA
"113228290","Non-Adopters","Non-Adopters",NA
"113230464","Non-Adopters","Non-Adopters",NA
"113238796","Non-Adopters","Non-Adopters",NA
"113250039","Laggards","High Thresh.",2016
"113259287","Non-Adopters","Non-Adopters",NA
"113259346","Late Majority","High Thresh.",2014
"113259497","Laggards","High Thresh.",2016
"113270042","Non-Adopters","Non-Adopters",NA
"113270686","Non-Adopters","Non-Adopters",NA
"113276813","Non-Adopters","Non-Adopters",NA
"113276814","Non-Adopters","Non-Adopters",NA
"113277058","Non-Adopters","Non-Adopters",NA
"113277161","Non-Adopters","Non-Adopters",NA
"113277175","Non-Adopters","Non-Adopters",NA
"113279113","Non-Adopters","Non-Adopters",NA
"113302252","Laggards","High Thresh.",2017
"113306600","Non-Adopters","Non-Adopters",NA
"113306675","Non-Adopters","Non-Adopters",NA
"113314930","Non-Adopters","Non-Adopters",NA
"113314970","Non-Adopters","Non-Adopters",NA
"113315037","Non-Adopters","Non-Adopters",NA
"113315326","Laggards","High Thresh.",2017
"113315559","Non-Adopters","Non-Adopters",NA
"113325743","Non-Adopters","Non-Adopters",NA
"113325756","Non-Adopters","Non-Adopters",NA
"113345463","Non-Adopters","Non-Adopters",NA
"113346297","Non-Adopters","Non-Adopters",NA
"113352841","Late Majority","High Thresh.",2015
"113353027","Non-Adopters","Non-Adopters",NA
"113360649","Non-Adopters","Non-Adopters",NA
"113369611","Non-Adopters","Non-Adopters",NA
"113377212","Non-Adopters","Non-Adopters",NA
"113378561","Non-Adopters","Non-Adopters",NA
"113378889","Non-Adopters","Non-Adopters",NA
"113384834","Non-Adopters","Non-Adopters",NA
"113394064","Non-Adopters","Non-Adopters",NA
"113394126","Non-Adopters","Non-Adopters",NA
"113394533","Non-Adopters","Non-Adopters",NA
"113394914","Non-Adopters","Non-Adopters",NA
"113401171","Non-Adopters","Non-Adopters",NA
"113401652","Non-Adopters","Non-Adopters",NA
"113401818","Late Majority","Low Thresh.",2014
"113402021","Non-Adopters","Non-Adopters",NA
"113404756","Non-Adopters","Non-Adopters",NA
"113413962","Non-Adopters","Non-Adopters",NA
"113416246","Non-Adopters","Non-Adopters",NA
"113416482","Non-Adopters","Non-Adopters",NA
"113416527","Non-Adopters","Non-Adopters",NA
"113420264","Non-Adopters","Non-Adopters",NA
"113442643","Non-Adopters","Non-Adopters",NA
"113446374","Non-Adopters","Non-Adopters",NA
"113446419","Late Majority","High Thresh.",2014
"113458986","Late Majority","High Thresh.",2014
"113459313","Non-Adopters","Non-Adopters",NA
"113460229","Non-Adopters","Non-Adopters",NA
"113472128","Non-Adopters","Non-Adopters",NA
"113472389","Non-Adopters","Non-Adopters",NA
"113478911","Non-Adopters","Non-Adopters",NA
"113486690","Non-Adopters","Non-Adopters",NA
"113487690","Non-Adopters","Non-Adopters",NA
"113489509","Non-Adopters","Non-Adopters",NA
"113492498","Late Majority","High Thresh.",2014
"113494769","Late Majority","High Thresh.",2015
"113500704","Non-Adopters","Non-Adopters",NA
"113513583","Late Majority","Low Thresh.",2014
"113516561","Non-Adopters","Non-Adopters",NA
"113518319","Late Majority","High Thresh.",2014
"113518570","Non-Adopters","Non-Adopters",NA
"113521538","Non-Adopters","Non-Adopters",NA
"113523749","Non-Adopters","Non-Adopters",NA
"113527690","Non-Adopters","Non-Adopters",NA
"113532188","Non-Adopters","Non-Adopters",NA
"113532876","Non-Adopters","Non-Adopters",NA
"113536478","Late Majority","High Thresh.",2014
"113538643","Non-Adopters","Non-Adopters",NA
"113544258","Non-Adopters","Non-Adopters",NA
"113547457","Non-Adopters","Non-Adopters",NA
"113552199","Non-Adopters","Non-Adopters",NA
"113556613","Non-Adopters","Non-Adopters",NA
"113556834","Non-Adopters","Non-Adopters",NA
"113564225","Non-Adopters","Non-Adopters",NA
"113568808","Non-Adopters","Non-Adopters",NA
"113579539","Non-Adopters","Non-Adopters",NA
"113605132","Laggards","High Thresh.",2017
"113607135","Non-Adopters","Non-Adopters",NA
"113607412","Non-Adopters","Non-Adopters",NA
"113619265","Non-Adopters","Non-Adopters",NA
"113619472","Non-Adopters","Non-Adopters",NA
"113619540","Non-Adopters","Non-Adopters",NA
"113619614","Non-Adopters","Non-Adopters",NA
"113627198","Non-Adopters","Non-Adopters",NA
"113643521","Non-Adopters","Non-Adopters",NA
"113646048","Non-Adopters","Non-Adopters",NA
"113647475","Non-Adopters","Non-Adopters",NA
"113650296","Late Majority","Low Thresh.",2014
"113652650","Non-Adopters","Non-Adopters",NA
"113652680","Non-Adopters","Non-Adopters",NA
"113660183","Non-Adopters","Non-Adopters",NA
"113667290","Non-Adopters","Non-Adopters",NA
"113667734","Non-Adopters","Non-Adopters",NA
"113670945","Non-Adopters","Non-Adopters",NA
"113673166","Non-Adopters","Non-Adopters",NA
"113682245","Non-Adopters","Non-Adopters",NA
"113682265","Non-Adopters","Non-Adopters",NA
"113682290","Laggards","Very Low Thresh.",2017
"113690088","Late Majority","Very Low Thresh.",2015
"113691708","Non-Adopters","Non-Adopters",NA
"113697868","Late Majority","High Thresh.",2015
"113698020","Non-Adopters","Non-Adopters",NA
"113698439","Non-Adopters","Non-Adopters",NA
"113700339","Late Majority","High Thresh.",2014
"113700619","Late Majority","High Thresh.",2014
"113700808","Non-Adopters","Non-Adopters",NA
"113704238","Non-Adopters","Non-Adopters",NA
"113707549","Non-Adopters","Non-Adopters",NA
"113707572","Non-Adopters","Non-Adopters",NA
"113708030","Non-Adopters","Non-Adopters",NA
"113711268","Non-Adopters","Non-Adopters",NA
"113712522","Non-Adopters","Non-Adopters",NA
"113721407","Non-Adopters","Non-Adopters",NA
"113724949","Non-Adopters","Non-Adopters",NA
"113728836","Non-Adopters","Non-Adopters",NA
"113736625","Non-Adopters","Non-Adopters",NA
"113739973","Non-Adopters","Non-Adopters",NA
"113744057","Non-Adopters","Non-Adopters",NA
"113748985","Non-Adopters","Non-Adopters",NA
"113757283","Non-Adopters","Non-Adopters",NA
"113763448","Non-Adopters","Non-Adopters",NA
"113763948","Non-Adopters","Non-Adopters",NA
"113763955","Non-Adopters","Non-Adopters",NA
"113763962","Non-Adopters","Non-Adopters",NA
"113766309","Late Majority","High Thresh.",2014
"113766373","Non-Adopters","Non-Adopters",NA
"113770622","Non-Adopters","Non-Adopters",NA
"113771072","Non-Adopters","Non-Adopters",NA
"113771252","Late Majority","High Thresh.",2014
"113782204","Non-Adopters","Non-Adopters",NA
"113782713","Non-Adopters","Non-Adopters",NA
"113784346","Non-Adopters","Non-Adopters",NA
"113798383","Non-Adopters","Non-Adopters",NA
"113801950","Non-Adopters","Non-Adopters",NA
"113826209","Non-Adopters","Non-Adopters",NA
"113831600","Non-Adopters","Non-Adopters",NA
"113841095","Non-Adopters","Non-Adopters",NA
"113841229","Non-Adopters","Non-Adopters",NA
"113841469","Laggards","Low Thresh.",2017
"113843419","Non-Adopters","Non-Adopters",NA
"113843780","Non-Adopters","Non-Adopters",NA
"113844090","Non-Adopters","Non-Adopters",NA
"113845684","Non-Adopters","Non-Adopters",NA
"113845844","Late Majority","High Thresh.",2014
"113848818","Late Majority","High Thresh.",2015
"113849458","Non-Adopters","Non-Adopters",NA
"113849523","Non-Adopters","Non-Adopters",NA
"113849681","Non-Adopters","Non-Adopters",NA
"113849707","Non-Adopters","Non-Adopters",NA
"113854352","Non-Adopters","Non-Adopters",NA
"113864932","Non-Adopters","Non-Adopters",NA
"113865122","Non-Adopters","Non-Adopters",NA
"113868590","Non-Adopters","Non-Adopters",NA
"113868705","Non-Adopters","Non-Adopters",NA
"113874078","Late Majority","High Thresh.",2015
"113875603","Late Majority","High Thresh.",2015
"113877552","Late Majority","High Thresh.",2014
"113880837","Non-Adopters","Non-Adopters",NA
"113889145","Non-Adopters","Non-Adopters",NA
"113889299","Non-Adopters","Non-Adopters",NA
"113891664","Non-Adopters","Non-Adopters",NA
"113894311","Non-Adopters","Non-Adopters",NA
"113894584","Non-Adopters","Non-Adopters",NA
"113899695","Non-Adopters","Non-Adopters",NA
"113899698","Non-Adopters","Non-Adopters",NA
"113905969","Non-Adopters","Non-Adopters",NA
"113921405","Non-Adopters","Non-Adopters",NA
"113926769","Non-Adopters","Non-Adopters",NA
"113931779","Non-Adopters","Non-Adopters",NA
"113935156","Non-Adopters","Non-Adopters",NA
"113946642","Non-Adopters","Non-Adopters",NA
"113948178","Non-Adopters","Non-Adopters",NA
"113948386","Non-Adopters","Non-Adopters",NA
"113951677","Non-Adopters","Non-Adopters",NA
"113955530","Non-Adopters","Non-Adopters",NA
"113969101","Non-Adopters","Non-Adopters",NA
"113973639","Non-Adopters","Non-Adopters",NA
"113974539","Non-Adopters","Non-Adopters",NA
"113977903","Non-Adopters","Non-Adopters",NA
"113990320","Non-Adopters","Non-Adopters",NA
"113990869","Non-Adopters","Non-Adopters",NA
"113997368","Non-Adopters","Non-Adopters",NA
"114002995","Non-Adopters","Non-Adopters",NA
"114003400","Non-Adopters","Non-Adopters",NA
"114007258","Non-Adopters","Non-Adopters",NA
"114007363","Non-Adopters","Non-Adopters",NA
"114010609","Non-Adopters","Non-Adopters",NA
"114013220","Laggards","High Thresh.",2016
"114015313","Non-Adopters","Non-Adopters",NA
"114015419","Non-Adopters","Non-Adopters",NA
"114037301","Non-Adopters","Non-Adopters",NA
"114037416","Late Majority","High Thresh.",2015
"114046810","Laggards","High Thresh.",2017
"114059232","Non-Adopters","Non-Adopters",NA
"114059464","Laggards","Low Thresh.",2017
"114071465","Non-Adopters","Non-Adopters",NA
"114071985","Non-Adopters","Non-Adopters",NA
"114078284","Non-Adopters","Non-Adopters",NA
"114081119","Late Majority","High Thresh.",2015
"114081463","Non-Adopters","Non-Adopters",NA
"114088789","Non-Adopters","Non-Adopters",NA
"114092678","Non-Adopters","Non-Adopters",NA
"114100415","Non-Adopters","Non-Adopters",NA
"114105336","Non-Adopters","Non-Adopters",NA
"114111167","Non-Adopters","Non-Adopters",NA
"114121190","Non-Adopters","Non-Adopters",NA
"114121843","Non-Adopters","Non-Adopters",NA
"114121876","Non-Adopters","Non-Adopters",NA
"114123141","Non-Adopters","Non-Adopters",NA
"114128499","Non-Adopters","Non-Adopters",NA
"114131929","Non-Adopters","Non-Adopters",NA
"114134358","Non-Adopters","Non-Adopters",NA
"114147361","Non-Adopters","Non-Adopters",NA
"114150781","Non-Adopters","Non-Adopters",NA
"114153073","Laggards","Very Low Thresh.",2017
"114153083","Non-Adopters","Non-Adopters",NA
"114158665","Non-Adopters","Non-Adopters",NA
"114160874","Non-Adopters","Non-Adopters",NA
"114160936","Non-Adopters","Non-Adopters",NA
"114161059","Late Majority","High Thresh.",2015
"114162825","Non-Adopters","Non-Adopters",NA
"114162837","Non-Adopters","Non-Adopters",NA
"114163546","Non-Adopters","Non-Adopters",NA
"114166930","Non-Adopters","Non-Adopters",NA
"114176383","Non-Adopters","Non-Adopters",NA
"114183532","Non-Adopters","Non-Adopters",NA
"114194061","Non-Adopters","Non-Adopters",NA
"114194106","Laggards","High Thresh.",2016
"114204104","Non-Adopters","Non-Adopters",NA
"114214241","Non-Adopters","Non-Adopters",NA
"114249716","Non-Adopters","Non-Adopters",NA
"114256104","Non-Adopters","Non-Adopters",NA
"114256120","Non-Adopters","Non-Adopters",NA
"114265911","Non-Adopters","Non-Adopters",NA
"114270770","Laggards","Low Thresh.",2017
"114275143","Non-Adopters","Non-Adopters",NA
"114275167","Laggards","High Thresh.",2016
"114283926","Laggards","Low Thresh.",2016
"114289614","Non-Adopters","Non-Adopters",NA
"114299199","Non-Adopters","Non-Adopters",NA
"114301948","Non-Adopters","Non-Adopters",NA
"114304990","Non-Adopters","Non-Adopters",NA
"114305013","Non-Adopters","Non-Adopters",NA
"114308295","Non-Adopters","Non-Adopters",NA
"114308885","Non-Adopters","Non-Adopters",NA
"114311104","Laggards","Low Thresh.",2016
"114311238","Non-Adopters","Non-Adopters",NA
"114311955","Non-Adopters","Non-Adopters",NA
"114322437","Non-Adopters","Non-Adopters",NA
"114327552","Late Majority","High Thresh.",2015
"114327657","Non-Adopters","Non-Adopters",NA
"114338853","Non-Adopters","Non-Adopters",NA
"114338863","Non-Adopters","Non-Adopters",NA
"114342437","Non-Adopters","Non-Adopters",NA
"114345389","Late Majority","High Thresh.",2015
"114357938","Non-Adopters","Non-Adopters",NA
"114366834","Non-Adopters","Non-Adopters",NA
"114376451","Non-Adopters","Non-Adopters",NA
"114380374","Non-Adopters","Non-Adopters",NA
"114380392","Non-Adopters","Non-Adopters",NA
"114381057","Late Majority","High Thresh.",2015
"114389325","Non-Adopters","Non-Adopters",NA
"114391404","Non-Adopters","Non-Adopters",NA
"114400428","Non-Adopters","Non-Adopters",NA
"114405488","Non-Adopters","Non-Adopters",NA
"114407367","Non-Adopters","Non-Adopters",NA
"114412851","Non-Adopters","Non-Adopters",NA
"114414732","Laggards","High Thresh.",2017
"114416803","Non-Adopters","Non-Adopters",NA
"114418895","Non-Adopters","Non-Adopters",NA
"114425067","Non-Adopters","Non-Adopters",NA
"114437154","Laggards","High Thresh.",2017
"114439723","Late Majority","High Thresh.",2015
"114442667","Non-Adopters","Non-Adopters",NA
"114446335","Non-Adopters","Non-Adopters",NA
"114447772","Non-Adopters","Non-Adopters",NA
"114456679","Non-Adopters","Non-Adopters",NA
"114459729","Non-Adopters","Non-Adopters",NA
"114482453","Non-Adopters","Non-Adopters",NA
"114490564","Non-Adopters","Non-Adopters",NA
"114490614","Non-Adopters","Non-Adopters",NA
"114492841","Non-Adopters","Non-Adopters",NA
"114496304","Non-Adopters","Non-Adopters",NA
"114498266","Non-Adopters","Non-Adopters",NA
"114500014","Non-Adopters","Non-Adopters",NA
"114507722","Non-Adopters","Non-Adopters",NA
"114508310","Non-Adopters","Non-Adopters",NA
"114508370","Non-Adopters","Non-Adopters",NA
"114508386","Laggards","High Thresh.",2017
"114508481","Non-Adopters","Non-Adopters",NA
"114518185","Non-Adopters","Non-Adopters",NA
"114524544","Non-Adopters","Non-Adopters",NA
"114525742","Non-Adopters","Non-Adopters",NA
"114532129","Non-Adopters","Non-Adopters",NA
"114536129","Laggards","High Thresh.",2017
"114536198","Non-Adopters","Non-Adopters",NA
"114551954","Late Majority","High Thresh.",2015
"114552309","Non-Adopters","Non-Adopters",NA
"114553991","Non-Adopters","Non-Adopters",NA
"114556560","Non-Adopters","Non-Adopters",NA
"114559763","Late Majority","Low Thresh.",2015
"114559841","Non-Adopters","Non-Adopters",NA
"114559877","Non-Adopters","Non-Adopters",NA
"114566491","Non-Adopters","Non-Adopters",NA
"114567010","Non-Adopters","Non-Adopters",NA
"114567190","Non-Adopters","Non-Adopters",NA
"114571295","Non-Adopters","Non-Adopters",NA
"114571648","Non-Adopters","Non-Adopters",NA
"114573226","Laggards","High Thresh.",2017
"114573323","Non-Adopters","Non-Adopters",NA
"114574424","Non-Adopters","Non-Adopters",NA
"114574431","Non-Adopters","Non-Adopters",NA
"114577038","Non-Adopters","Non-Adopters",NA
"114577139","Non-Adopters","Non-Adopters",NA
"114587195","Non-Adopters","Non-Adopters",NA
"114589563","Non-Adopters","Non-Adopters",NA
"114608572","Non-Adopters","Non-Adopters",NA
"114610747","Non-Adopters","Non-Adopters",NA
"114612234","Non-Adopters","Non-Adopters",NA
"114613705","Non-Adopters","Non-Adopters",NA
"114615353","Non-Adopters","Non-Adopters",NA
"114632972","Non-Adopters","Non-Adopters",NA
"114655857","Laggards","Low Thresh.",2017
"114656509","Non-Adopters","Non-Adopters",NA
"114673969","Non-Adopters","Non-Adopters",NA
"114674190","Laggards","High Thresh.",2017
"114674679","Non-Adopters","Non-Adopters",NA
"114683683","Non-Adopters","Non-Adopters",NA
"114683711","Non-Adopters","Non-Adopters",NA
"114684300","Laggards","Very Low Thresh.",2017
"114686033","Non-Adopters","Non-Adopters",NA
"114696458","Non-Adopters","Non-Adopters",NA
"114698621","Non-Adopters","Non-Adopters",NA
"114698720","Non-Adopters","Non-Adopters",NA
"114699142","Non-Adopters","Non-Adopters",NA
"114699174","Non-Adopters","Non-Adopters",NA
"114700706","Non-Adopters","Non-Adopters",NA
"114705665","Non-Adopters","Non-Adopters",NA
"114705824","Non-Adopters","Non-Adopters",NA
"114708090","Non-Adopters","Non-Adopters",NA
"114713927","Non-Adopters","Non-Adopters",NA
"114726511","Non-Adopters","Non-Adopters",NA
"114748859","Non-Adopters","Non-Adopters",NA
"114749005","Non-Adopters","Non-Adopters",NA
"114749163","Non-Adopters","Non-Adopters",NA
"114762490","Non-Adopters","Non-Adopters",NA
"114763006","Non-Adopters","Non-Adopters",NA
"114763234","Non-Adopters","Non-Adopters",NA
"114764745","Non-Adopters","Non-Adopters",NA
"114773410","Non-Adopters","Non-Adopters",NA
"114784507","Non-Adopters","Non-Adopters",NA
"114786520","Non-Adopters","Non-Adopters",NA
"114794744","Non-Adopters","Non-Adopters",NA
"114799631","Non-Adopters","Non-Adopters",NA
"114799634","Non-Adopters","Non-Adopters",NA
"114799680","Non-Adopters","Non-Adopters",NA
"114807767","Non-Adopters","Non-Adopters",NA
"114817187","Non-Adopters","Non-Adopters",NA
"114817954","Laggards","Low Thresh.",2017
"114820795","Non-Adopters","Non-Adopters",NA
"114838128","Non-Adopters","Non-Adopters",NA
"114850122","Laggards","Low Thresh.",2016
"114850303","Non-Adopters","Non-Adopters",NA
"114853558","Non-Adopters","Non-Adopters",NA
"114859471","Non-Adopters","Non-Adopters",NA
"114875921","Non-Adopters","Non-Adopters",NA
"114883104","Non-Adopters","Non-Adopters",NA
"114884107","Non-Adopters","Non-Adopters",NA
"114884148","Non-Adopters","Non-Adopters",NA
"114893190","Non-Adopters","Non-Adopters",NA
"114911846","Non-Adopters","Non-Adopters",NA
"114912101","Laggards","High Thresh.",2016
"114913173","Non-Adopters","Non-Adopters",NA
"114913221","Non-Adopters","Non-Adopters",NA
"114913807","Non-Adopters","Non-Adopters",NA
"114918115","Non-Adopters","Non-Adopters",NA
"114933179","Non-Adopters","Non-Adopters",NA
"114942371","Non-Adopters","Non-Adopters",NA
"114949568","Non-Adopters","Non-Adopters",NA
"114956050","Laggards","High Thresh.",2016
"114957351","Non-Adopters","Non-Adopters",NA
"114960528","Non-Adopters","Non-Adopters",NA
"114960870","Non-Adopters","Non-Adopters",NA
"114963816","Non-Adopters","Non-Adopters",NA
"114964545","Non-Adopters","Non-Adopters",NA
"114967563","Non-Adopters","Non-Adopters",NA
"114967955","Non-Adopters","Non-Adopters",NA
"114968184","Non-Adopters","Non-Adopters",NA
"114968403","Non-Adopters","Non-Adopters",NA
"114968496","Non-Adopters","Non-Adopters",NA
"114968586","Non-Adopters","Non-Adopters",NA
"114970828","Non-Adopters","Non-Adopters",NA
"114971072","Laggards","Low Thresh.",2017
"114976457","Non-Adopters","Non-Adopters",NA
"114978682","Laggards","High Thresh.",2016
"114983215","Non-Adopters","Non-Adopters",NA
"115007518","Non-Adopters","Non-Adopters",NA
"115015521","Non-Adopters","Non-Adopters",NA
"115015599","Non-Adopters","Non-Adopters",NA
"115015747","Non-Adopters","Non-Adopters",NA
"115021280","Non-Adopters","Non-Adopters",NA
"115021708","Non-Adopters","Non-Adopters",NA
"115027999","Non-Adopters","Non-Adopters",NA
"115031872","Non-Adopters","Non-Adopters",NA
"115044889","Non-Adopters","Non-Adopters",NA
"115049582","Non-Adopters","Non-Adopters",NA
"115058692","Non-Adopters","Non-Adopters",NA
"115063927","Laggards","High Thresh.",2017
"115072101","Non-Adopters","Non-Adopters",NA
"115072639","Non-Adopters","Non-Adopters",NA
"115074375","Non-Adopters","Non-Adopters",NA
"115080430","Non-Adopters","Non-Adopters",NA
"115080724","Non-Adopters","Non-Adopters",NA
"115080875","Non-Adopters","Non-Adopters",NA
"115111108","Non-Adopters","Non-Adopters",NA
"115115028","Non-Adopters","Non-Adopters",NA
"115115682","Non-Adopters","Non-Adopters",NA
"115119525","Non-Adopters","Non-Adopters",NA
"115126160","Non-Adopters","Non-Adopters",NA
"115130082","Non-Adopters","Non-Adopters",NA
"115131955","Non-Adopters","Non-Adopters",NA
"115136332","Non-Adopters","Non-Adopters",NA
"115149103","Non-Adopters","Non-Adopters",NA
"115165150","Laggards","High Thresh.",2017
"115167315","Late Majority","High Thresh.",2015
"115171787","Non-Adopters","Non-Adopters",NA
"115172250","Non-Adopters","Non-Adopters",NA
"115172784","Non-Adopters","Non-Adopters",NA
"115191207","Non-Adopters","Non-Adopters",NA
"115200192","Non-Adopters","Non-Adopters",NA
"115215964","Non-Adopters","Non-Adopters",NA
"115234229","Non-Adopters","Non-Adopters",NA
"115234643","Non-Adopters","Non-Adopters",NA
"115241655","Non-Adopters","Non-Adopters",NA
"115242205","Non-Adopters","Non-Adopters",NA
"115264133","Non-Adopters","Non-Adopters",NA
"115272652","Non-Adopters","Non-Adopters",NA
"115278641","Non-Adopters","Non-Adopters",NA
"115286442","Non-Adopters","Non-Adopters",NA
"115289499","Laggards","High Thresh.",2017
"115291942","Non-Adopters","Non-Adopters",NA
"115292110","Non-Adopters","Non-Adopters",NA
"115305744","Non-Adopters","Non-Adopters",NA
"115346215","Non-Adopters","Non-Adopters",NA
"115350403","Non-Adopters","Non-Adopters",NA
"115350488","Non-Adopters","Non-Adopters",NA
"115385207","Non-Adopters","Non-Adopters",NA
"115386847","Laggards","High Thresh.",2017
"115393199","Non-Adopters","Non-Adopters",NA
"115400761","Non-Adopters","Non-Adopters",NA
"115402786","Non-Adopters","Non-Adopters",NA
"115409991","Non-Adopters","Non-Adopters",NA
"115413697","Non-Adopters","Non-Adopters",NA
"115419133","Non-Adopters","Non-Adopters",NA
"115430260","Non-Adopters","Non-Adopters",NA
"115440318","Non-Adopters","Non-Adopters",NA
"115463033","Non-Adopters","Non-Adopters",NA
"115475977","Non-Adopters","Non-Adopters",NA
"115480932","Non-Adopters","Non-Adopters",NA
"115493616","Non-Adopters","Non-Adopters",NA
"115534160","Non-Adopters","Non-Adopters",NA
"115538623","Non-Adopters","Non-Adopters",NA
