"","High Thresh.","Low Thresh.","Very Low Thresh."
"Early Adopters",0.33,0,0.67
"Early Majority",0.61,0.1,0.29
"Laggards",0.59,0.32,0.09
"Late Majority",0.52,0.29,0.2
