"","High Thresh.","Low Thresh.","Very Low Thresh."
"Early Adopters",0.42,0.35,0.23
"Early Majority",0.55,0.23,0.22
"Laggards",0.67,0.24,0.09
"Late Majority",0.62,0.21,0.17
