"","High Thresh.","Low Thresh.","Very Low Thresh."
"Early Adopters",0.68,0.11,0.21
"Early Majority",0.66,0.15,0.2
"Laggards",0.48,0.26,0.26
"Late Majority",0.62,0.16,0.23
