"","High Thresh.","Low Thresh.","Very Low Thresh."
"Early Adopters",0.45,0.25,0.3
"Early Majority",0.64,0.16,0.2
"Laggards",0.69,0.19,0.12
"Late Majority",0.68,0.12,0.2
