"","High Thresh.","Low Thresh.","Very Low Thresh."
"Early Adopters",0.47,0.2,0.33
"Early Majority",0.63,0.2,0.17
"Laggards",0.72,0.18,0.1
"Late Majority",0.66,0.18,0.17
